
Two-sample t test with equal variances
------------------------------------------------------------------------------------
Variables   G1(0)            Mean1     G2(1)          Mean2      MeanDiff   t-Value
------------------------------------------------------------------------------------
kou           32046           0.000       23940        2.605     -2.605   -208.423***
end_pric~s    32046           3.301       23940        4.299     -0.998    -49.719***
pop           32046           0.700       23940        1.696     -0.996    -86.168***
light         32046          25.091       23940       35.286    -10.195    -92.698***
pm25          32046          45.820       23940       43.669      2.151     19.155***
elect_st~e    32046           0.136       23940        0.571     -0.435    -35.361***
kind          32046           1.389       23940        3.580     -2.191   -115.090***
age           32046          10.972       23940       16.749     -5.777    -67.538***
hotel_num     32046           0.322       23940        1.188     -0.865    -66.482***
mall          32046           0.409       23940        1.820     -1.411    -71.520***
museum_num    32046           0.065       23940        0.210     -0.145    -32.551***
old           32046           0.110       23940        0.281     -0.170    -35.408***
ktv           32046           0.468       23940        1.953     -1.485    -65.866***
mid           32046           0.295       23940        0.775     -0.479    -62.246***
primary       32046           0.384       23940        1.050     -0.666    -79.750***
west_food     32046           0.311       23940        1.504     -1.192    -64.784***
super         32046           0.382       23940        1.226     -0.844    -83.583***
green_ra~o    32046           0.269       23940        0.290     -0.020    -16.719***
number_b~g    32046          33.908       23940       23.328     10.581     19.957***
tihu          32046           0.378       23940        0.379     -0.001     -0.356
sub           32046           0.098       23940        0.273     -0.175    -51.486***
floor_ra~o    32046           1.768       23940        2.702     -0.934    -13.272***
residence     32046        1219.895       23940     1365.491   -145.597    -13.563***
park          32046           0.541       23940        1.196     -0.655    -50.928***
------------------------------------------------------------------------------------
